dataset,split_seed,tag,preprocess,feature,classifier,accuracy,precision,recall,f1,train_time_sec,inference_time_sec,n_train,n_test,model_path,confusion_path
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p1,none,hog,svm_rbf,0.10847642409375852,0.1025638613340797,0.10849411054074223,0.10127181311790803,6.9279497500974685,15.431337124900892,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p1.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p1.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_gscale,none,hog,svm_rbf,0.10629599345870809,0.10304493075520155,0.10632780799566058,0.10178868736217427,6.8109607910737395,15.459735082928091,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_gscale.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_gscale.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_gscale,none,hog,svm_rbf,0.1060234396293268,0.1025518871296421,0.10618316840562046,0.10313167111942462,6.920471040997654,15.584728042129427,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_gscale.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_gscale.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_g0p1,none,hog,svm_rbf,0.10438811665303897,0.10147130392219089,0.10413122844590136,0.0959253359506054,7.009388250065967,15.045204458991066,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_g0p1.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC1p0_g0p1.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_linear__hp-svmC0p1,none,hog,svm_linear,0.0975742709185064,0.09794440163089865,0.09758859396512257,0.09648087746336576,6.257766917115077,5.194606374949217,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_linear__hp-svmC0p1.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_linear__hp-svmC0p1.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p01,none,hog,svm_rbf,0.09566639411283728,0.09529816656498073,0.09569196291118814,0.09452052684521449,6.870307832956314,15.514187708031386,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p01.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC10p0_g0p01.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-random_forest__hp-rfN500_d20,none,hog,random_forest,0.09239574816026165,0.08914083514585522,0.0925844415235622,0.08741101392353375,13.196301332907751,0.13748045801185071,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-random_forest__hp-rfN500_d20.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-random_forest__hp-rfN500_d20.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_gscale,none,hog,svm_rbf,0.09076042518397383,0.07954104767123567,0.09029084952038403,0.07764060253540644,6.789918167050928,15.169274125015363,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_gscale.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_gscale.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_g0p1,none,hog,svm_rbf,0.09048787135459253,0.1139318592006547,0.08987913806533387,0.06745574053342357,6.825056333094835,15.26090620784089,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_g0p1.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog__clf-svm_rbf__hp-rbfC0p1_g0p1.json
oxford_pets,0,sweep_numpy__img-none__vec-none__feat-hog_pca__clf-svm_linear__hp-svmC0p1,none,hog+pca,svm_linear,0.08994276369582993,0.09039647603357033,0.0899042632197801,0.08915159011881273,3.517190125072375,0.570479542016983,3680,3669,experiments/artifacts_task4/model_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog_pca__clf-svm_linear__hp-svmC0p1.joblib,experiments/artifacts_task4/confusion_oxford_pets_0_sweep_numpy__img-none__vec-none__feat-hog_pca__clf-svm_linear__hp-svmC0p1.json
