dataset,split_seed,tag,preprocess,feature,classifier,accuracy,precision,recall,f1,train_time_sec,inference_time_sec,n_train,n_test,model_path,confusion_path
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C1p0__gscale,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.11011174707004634,0.11455495676387809,0.11020203681048282,0.10091725905789131,90.38018554099835,104.25747412489727,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C1p0__g0p01,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.04088307440719542,0.09244161691752764,0.04055970627399199,0.03440524046967912,83.20551583310589,102.37293341592886,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C1p0__g0p03,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.030798582720087217,0.20277323818639165,0.03054878626307198,0.011267189380376956,83.62704591685906,101.2741712089628,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C10p0__gscale,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.11937857726901063,0.11847090211273997,0.11939026853325803,0.11395204406102737,84.21378716710024,101.614454458002,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C10p0__g0p01,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.04088307440719542,0.09244161691752764,0.04055970627399199,0.03440524046967912,84.27049154206179,101.24080387502909,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C10p0__g0p03,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.03134369037884982,0.2027736397815138,0.031094786809072524,0.012317233823708749,99.2433843750041,158.6222601251211,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C30p0__gscale,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.11937857726901063,0.11847090211273997,0.11939026853325803,0.11395204406102737,133.5934074590914,159.54540908383206,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C30p0__g0p01,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.04088307440719542,0.09244161691752764,0.04055970627399199,0.03440524046967912,132.20688937488012,160.3446733339224,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_rbf__C30p0__g0p03,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_rbf,0.03134369037884982,0.2027736397815138,0.031094786809072524,0.012317233823708749,156.50687624979764,166.55681662494317,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_linear__C0p1,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_linear,0.11392750068138457,0.11313859675658139,0.11407728461434341,0.11231970777065425,90.0435498750303,45.54002391709946,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_linear__C1p0,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_linear,0.11392750068138457,0.11313859675658139,0.11407728461434341,0.11231970777065425,91.7619971667882,44.16202325001359,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-svm_linear__C10p0,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,svm_linear,0.11392750068138457,0.11313859675658139,0.11407728461434341,0.11231970777065425,83.88939712499268,48.021453166147694,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-rf__N500__dnone,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,random_forest,0.0967566094303625,0.09509951783899744,0.09720347719561699,0.09392210373838987,76.64647333393805,0.37897520791739225,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-rf__N500__d30,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,random_forest,0.09839193240665031,0.09703517293284421,0.09885334599156974,0.09485958153744385,59.29439341695979,0.5477755840402097,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-rf__N1000__dnone,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,random_forest,0.10956663941128372,0.1100223189896806,0.11009720168082597,0.10533988204412746,147.44068162492476,0.6556159171741456,3680,3669,,
oxford_pets,0,trad_best_try__img-resize224__vec-zscore__feat-fusion__clf-rf__N1000__d30,resize_numpy_224+normalizer_zscore_vec,handcrafted_fusion,random_forest,0.10575088579994549,0.10521384506178119,0.10623238655357932,0.09884065287576237,126.9582772499416,0.5465292909648269,3680,3669,,
